stratum,arm,config_id,mock,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,started_logical_requests,not_started,in_progress,empty_observations,empty_fraction,complete,AE2,AE2_MCSE,ProfileAE,ProfileAE_MCSE,delta_AE2,delta_AE2_MCSE,delta_ProfileAE,delta_ProfileAE_MCSE,delta_AE2_vs_plugin,delta_AE2_vs_plugin_MCSE,delta_AE2_vs_extratrees,delta_AE2_vs_extratrees_MCSE
real,H,qwen_thinking,False,1.0,0.0,0.0,0.4,0.0,0.0,90,0,0,0,0.0,True,0.20825209787179563,0.024579431178595578,0.10410773397360852,0.009349660538653206,0.12293912359333665,0.02561897166079939,0.06145307477082468,0.008868019314887541,0.13619600996503778,0.02509367089786882,0.14929673723891126,0.024200090579538047
real,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,90,0,0,0,0.0,True,0.07205608790675787,0.005257981504505023,0.0651190752246874,0.0017596922150313256,-0.013256886371701068,0.012851663303101375,0.02246441602190356,0.00516994853957018,0.0,0.0,0.013100727273873507,0.009277567300228419
real,B,sol,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
real,B,deepseek,False,,,,,,,0,90,0,0,0.0,False,,,,,,,,,,,,
real,B,qwen_thinking,False,1.0,0.0,0.0,0.28888888888888886,0.0,0.0,90,0,0,0,0.0,True,0.12143515506908226,0.013175744723289811,0.06716596371190846,0.01007690935666805,0.06226001083509198,0.013362382108125103,0.030138285537647747,0.009982791985109525,0.03913154885052638,0.013337341961974275,0.06902904817994482,0.013001790358940155
real,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,90,0,0,0,0.0,True,0.08230360621855588,0.0007393318525797747,0.041687205465567125,0.00023536856212200575,0.02312846198456561,0.0010976936548168807,0.004659527291306397,0.001077311271406295,0.0,0.0,0.02989749932941844,0.0008893337656643062
dar_a0,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,R,qwen_thinking,False,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,30,0,0,0,0.0,True,0.020719241497038555,0.004701871130835488,0.009467388508123033,0.0014403630126389418,0.0014116270344805707,0.001379424504001747,0.0009214947272319543,0.00051859697279821,0.0014116270344805707,0.001379424504001747,-0.003697034627635761,0.007567522258728125
dar_a0,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.019307614462557986,0.0048943491877491575,0.00854589378089108,0.0014384104624063606,0.0,0.0,0.0,0.0,0.0,0.0,-0.005108661662116332,0.007990548471984663
dar_a0,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,S,qwen_thinking,False,1.0,0.0,0.0,0.36666666666666664,0.0,0.0,30,0,0,0,0.0,True,0.07756812321364472,0.011890210040955126,0.02900318149969871,0.00417886949531138,0.05142157148515286,0.011751642984788192,0.01744206921315009,0.004060657130662731,-0.10473537371174742,0.013173885550424003,0.05587874467186585,0.011001370886959561
dar_a0,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.18230349692539216,0.01283451804423486,0.06887425049547408,0.005158660672645559,0.15615694519690027,0.007803492800147263,0.057313138208925474,0.003360766762488377,0.0,0.0,0.16061411838361328,0.009433008278162826
dar_a0,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,H,qwen_thinking,False,1.0,0.0,0.0,0.36666666666666664,0.0,0.0,30,0,0,0,0.0,True,0.23337182473068685,0.015685335497112613,0.10283956138327384,0.007881514388791346,0.20731091057161538,0.01813815159315144,0.09277224359339781,0.008928731564154435,0.0480877712210854,0.017935144038528302,0.1640918575303532,0.01839626197018345
dar_a0,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.18528405350960148,0.005783985796295022,0.0672742455793115,0.0017039345299614613,0.15922313935052995,0.0029182988370725416,0.05720692778943545,0.0012094824646677331,0.0,0.0,0.11600408630926781,0.0028723460556563216
dar_a0,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a0,B,qwen_thinking,False,1.0,0.0,0.0,0.36666666666666664,0.0,0.0,30,0,0,0,0.0,True,0.26347576126275013,0.030763276333180795,0.09450562798230391,0.0076643703812321225,0.21673802720700241,0.033072927846747834,0.0748870476344984,0.010475347582021047,-0.05022123657935215,0.03043720575015503,0.23567668315775123,0.02870937633873916
dar_a0,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.31369699784210225,0.003169619423613537,0.10107339552425447,0.0008085896020010836,0.2669592637863546,0.014444769259781115,0.08145481517644895,0.005693557549716683,0.0,0.0,0.2858979197371033,0.008825841752230501
dar_a08,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,R,qwen_thinking,False,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,30,0,0,0,0.0,True,0.0323698081978957,0.006239456101541007,0.03639772933057485,0.0035846647235247835,-0.00021322947722123657,0.0002124456877570579,0.00239392102627362,0.001411211510320275,-0.00021322947722123657,0.0002124456877570579,0.0033903465692024038,0.007595291730018635
dar_a08,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.03258303767511693,0.006247512008558669,0.03400380830430123,0.002827900502461776,0.0,0.0,0.0,0.0,0.0,0.0,0.00360357604642364,0.007536487525908065
dar_a08,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,S,qwen_thinking,False,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,30,0,0,0,0.0,True,0.07553078420749063,0.012493644912174636,0.07960797010879692,0.012287211283510529,0.029934495591295532,0.009493961161516925,0.03826662705880228,0.010728177396164818,-0.05637432122980632,0.01410048268094021,0.04605515761550649,0.013215939593128513
dar_a08,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.13190510543729692,0.006498737345916381,0.17081562971992045,0.008089106027967188,0.08630881682110185,0.013731689187050653,0.12947428666992586,0.010604886012819946,0.0,0.0,0.10242947884531281,0.004375262064203611
dar_a08,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,H,qwen_thinking,False,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,30,0,0,0,0.0,True,0.1129735157326319,0.01774088733582225,0.1929201530356054,0.005912620223110606,0.08185474358225109,0.019761998986377267,0.11282475503784212,0.008033929573282894,0.07963045077568731,0.01789453523013383,0.0810319002605851,0.0202541880315933
dar_a08,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.03334306495694459,0.006669601538120123,0.2121823682823198,0.004731900348879663,0.002224292806563789,0.012017643746286921,0.13208697028455652,0.014501368521635171,0.0,0.0,0.001401449484897798,0.011663532518326023
dar_a08,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
dar_a08,B,qwen_thinking,False,1.0,0.0,0.0,0.23333333333333334,0.0,0.0,30,0,0,0,0.0,True,0.3702113571353406,0.0314621019534608,0.3669554873154903,0.01795756357301265,0.27960649463685694,0.0421552664148743,0.2760014064110063,0.029184750392720244,-0.1532378607598417,0.0312324453842421,0.34555248486919754,0.03203712791419329
dar_a08,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.5234492178951824,0.005187365398191079,0.45580180584888097,0.001581292804827271,0.43284435539669863,0.02151454547497916,0.36484772494439693,0.018057954098236368,0.0,0.0,0.4987903456290393,0.009147297343129366
ad_memoryless,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,R,qwen_thinking,False,1.0,0.0,0.0,0.3,0.0,0.0,30,0,0,0,0.0,True,0.00861617074068887,0.0016183087708320704,0.0025031874878567537,0.0004266815763984733,-6.705846687439741e-05,6.53455530631108e-05,2.877111922975787e-06,3.707471393904552e-05,-6.705846687439741e-05,6.53455530631108e-05,0.0008288652894989594,0.0007261097568265234
ad_memoryless,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.008683229207563268,0.0016244395586258373,0.0025003103759337784,0.0004159910662325053,0.0,0.0,0.0,0.0,0.0,0.0,0.0008959237563733568,0.000699930003804729
ad_memoryless,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,S,qwen_thinking,False,1.0,0.0,0.0,0.4,0.0,0.0,30,0,0,0,0.0,True,0.01591828951487279,0.0041266748625046305,0.004412440004927953,0.0010454854997896774,0.010129631571298646,0.0043825337530777305,0.002793956049701383,0.001139154659837224,-0.02090064896483286,0.0033371489118624725,0.011474725908461164,0.004556597448811929
ad_memoryless,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.036818938479705646,0.004236871474076483,0.010041168377479141,0.0011337267953853054,0.031030280536131508,0.004983463410977705,0.008422684422252573,0.0013388968702828861,0.0,0.0,0.03237537487329402,0.004916449466001652
ad_memoryless,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,H,qwen_thinking,False,1.0,0.0,0.0,0.43333333333333335,0.0,0.0,30,0,0,0,0.0,True,0.15450420595697856,0.051998519978589425,0.05493730398811837,0.01858404927860032,0.1452869267871335,0.05222213747119257,0.052342181140383914,0.018664229272215633,0.1333539381642636,0.05067319967849991,0.1449695445478133,0.05242246121398745
ad_memoryless,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.021150267792714943,0.0026671792620573892,0.00572680688022444,0.0006923416397174022,0.01193298862286988,0.006070395918538319,0.0031316840324899647,0.0015708954392255185,0.0,0.0,0.01161560638354966,0.006105623197922922
ad_memoryless,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memoryless,B,qwen_thinking,False,1.0,0.0,0.0,0.4,0.0,0.0,30,0,0,0,0.0,True,0.05033111285229701,0.03358490803741056,0.02627547274759623,0.020868156772642654,0.038833665262387934,0.03425719494533674,0.023103494562530243,0.021057423756816476,0.008385786726693028,0.03375142414346725,0.04496498111638735,0.0328982651828857
ad_memoryless,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.04194532612560399,0.0003599384806215888,0.011027360754423215,9.622659377674687e-05,0.030447878535694917,0.0016697168240771946,0.007855382569357243,0.00042633034462864246,0.0,0.0,0.03657919438969434,0.0012629137398268168
ad_memory,R,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,R,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,R,qwen_thinking,False,1.0,0.0,0.0,0.1,0.0,0.0,30,0,0,0,0.0,True,0.02061332508721678,0.00639372288829193,0.028299191213381154,0.0048410416579782465,-2.8671653454881428e-06,2.8186253004994283e-06,0.001040552015795155,0.001092369572665758,-2.8671653454881428e-06,2.8186253004994283e-06,0.0070769512525455155,0.00686790928321328
ad_memory,R,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.02061619225256227,0.006394236985430691,0.027258639197585994,0.0048340084094199804,0.0,0.0,0.0,0.0,0.0,0.0,0.007079818417891005,0.006868163933158024
ad_memory,S,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,S,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,S,qwen_thinking,False,1.0,0.0,0.0,0.26666666666666666,0.0,0.0,30,0,0,0,0.0,True,0.07189130766360954,0.008354280856242544,0.07006966739030435,0.01156608964606243,0.020310295241639912,0.009205226780291835,0.03292886793795354,0.01252851725939218,-0.07924199226129176,0.005833708156934705,0.058461771212450116,0.009938087342147763
ad_memory,S,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.1511332999249013,0.004786363765817801,0.16624446131858636,0.006854791945730732,0.09955228750293169,0.006715042510475131,0.12910366186623556,0.007621665810051257,0.0,0.0,0.1377037634737419,0.005324695506468043
ad_memory,H,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,H,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,H,qwen_thinking,False,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,30,0,0,0,0.0,True,0.12655961628992984,0.0070606822067503724,0.1117083405061412,0.014587208777671397,0.049139629521078435,0.013429515144123454,0.0671660172501446,0.015579466056020817,-0.007804945932517271,0.01090470219671674,0.11342024388585177,0.008107241872523246
ad_memory,H,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.13436456222244714,0.00789070066601855,0.21172751090027175,0.0021354167299433824,0.0569445754535957,0.019313669026403798,0.16718518764427515,0.009225426480702749,0.0,0.0,0.12122518981836904,0.005388926900694881
ad_memory,B,sol,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,B,deepseek,False,,,,,,,0,30,0,0,0.0,False,,,,,,,,,,,,
ad_memory,B,qwen_thinking,False,1.0,0.0,0.0,0.3,0.0,0.0,30,0,0,0,0.0,True,0.4619324147748244,0.04148424075879374,0.3101305758981895,0.018879872118113823,0.3464117155421892,0.049826894906204684,0.22363069526192297,0.024889565104281804,-0.1107679768396305,0.04183073753352455,0.42367618643502275,0.03911868992496142
ad_memory,B,qwen_nonthinking,False,0.0,0.0,0.0,0.0,1.0,1.0,30,0,0,0,0.0,True,0.572700391614455,0.0038702471151428547,0.36962131427718925,0.0013812273862898723,0.45717969238181966,0.014564577757094617,0.28312143364092274,0.00947344438471111,0.0,0.0,0.5344441632746533,0.006451181848847291
