model,generation,prompt_id,strategy,condition,coverage,delta_i,lost_structural,lost_invalid
qwen36-27b_think,1,real__sp_hypertext2009|event_sample_then_full_history|ss3|b9600|slot3|hidden,event_sample_then_full_history,hidden,0.0637522768670309,-0.35352589123080924,True,False
qwen36-27b_think,1,real__sp_hypertext2009|event_sample_then_full_history|ss3|b9600|slot3|mechanism,event_sample_then_full_history,mechanism,0.0637522768670309,-0.35352589123080924,True,False
qwen36-27b_think,1,real__sp_hypertext2009|node_panel_full_history|ss0|b2500|mechanism,node_panel_full_history,mechanism,0.1193078324225865,-0.14480179090365547,True,False
qwen36-27b_think,2,controlled__snap_collegemsg__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism,event_sample_then_full_history,mechanism,0.0437201907790143,-0.2106938732607181,True,False
qwen36-27b_think,2,controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0079739980636855,-0.0845732433469295,True,False
qwen36-27b_think,2,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0664845173041894,-0.21396935898395592,True,False
qwen36-27b_think,2,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism_direction,node_panel_full_history,mechanism_direction,0.2030965391621129,0.054720363971999614,True,False
qwen36-27b_think,2,real__snap_collegemsg|event_sample_then_full_history|ss0|b9600|direction_only,event_sample_then_full_history,direction_only,0.0445151033386327,-0.1534439328556976,True,False
qwen36-27b_think,2,real__snap_collegemsg|event_sample_then_full_history|ss0|b9600|mechanism,event_sample_then_full_history,mechanism,0.0445151033386327,-0.1534439328556976,True,False
qwen36-27b_think,2,real__snap_mathoverflow|event_sample_then_full_history|ss0|b9600|mechanism_direction,event_sample_then_full_history,mechanism_direction,0.0083197684933984,-0.1573040360544888,True,False
qwen36-27b_think,2,real__sp_hypertext2009|event_sample_then_full_history|ss1|b9600|slot1|hidden,event_sample_then_full_history,hidden,0.0646630236794171,-0.3517150260396624,True,False
qwen36-27b_think,2,real__sp_hypertext2009|event_sample_then_full_history|ss2|b9600|slot2|hidden,event_sample_then_full_history,hidden,0.0742258652094717,-0.34458636449987146,True,False
qwen36-27b_think,2,real__sp_hypertext2009|event_sample_then_full_history|ss3|b9600|slot3|hidden,event_sample_then_full_history,hidden,0.0637522768670309,-0.35352589123080924,True,False
qwen36-27b_think,2,real__sp_hypertext2009|event_sample_then_full_history|ss3|b9600|slot3|mechanism,event_sample_then_full_history,mechanism,0.0637522768670309,-0.35352589123080924,True,False
qwen36-27b_think,2,real__sp_hypertext2009|node_panel_full_history|ss1|b2500|slot1|mechanism,node_panel_full_history,mechanism,0.0979052823315118,-0.05983818358961318,True,False
qwen36-27b_think,2,real__sp_primaryschool|event_sample_then_full_history|ss1|b9600|slot1|hidden,event_sample_then_full_history,hidden,0.0121438018516291,-0.40023594760582226,True,False
