id,config_id,answer_sha256,attempt_sha256,valid,validation_reason,end_state,input_tokens,output_tokens
ad_memory_r1__S-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,e9b939bca3579f1cdc99df256adeaac060a26089f686815e6b7b8515c3d32b7b,776fae97e98e5da1a4562f988a9e48f4eb998e38863ef72f1dcfccb47bae19df,True,valid,model_end,1226,55
ad_memory_r1__S-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,02afc09a89c037d8188ce72191a01f70ce0cc7955f2814d840f3ced3beb86059,0962b37a33b0c1e4db23ed3d4fa35abd92ff80641e8bb87bcffd28487b6c1a5d,True,valid,model_end,1230,55
ad_memory_r1__S-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,a94ccd0fba8d939e2bb81d706865c82310b62483ec48e989b52d74e11e5c7c8f,506b86f1558db9af979c0c1f7b6ba6dc8c42bf69ab35b0fcdd8a48376560b712,True,valid,model_end,1214,55
ad_memory_r1__S-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,106e0caec8ec20330e527049f6e896ad0da71f8fa920f3b2f074c0384859e70e,85317e8406ebb781c66cf43ab9d66f54a870f1d206aa67f0b8cb0364267cbcce,True,valid,model_end,1227,55
ad_memory_r2__B-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,6a39d7afd0a3bff9215ae4d1c8c639006d25ba5cf675a68bb0806bcc098c2127,f9e7dd4561243a2c5c59e46e8c6c670adf2f43fc5528678792cc10c3e49b3932,True,valid,model_end,1122,55
ad_memory_r2__B-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,9cae93455057551c0534022983604922025c3d7a26bbfe8d1d412a01693a3cdd,80d1233c6cc1380ef692ac7e63e98e5cd66a2b6c208f8e3d490d27f1b371cefd,True,valid,model_end,1115,55
ad_memory_r2__B-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,16188a2da3d5dc1523cae78491f73f407895fdff35d369b6479fe879cbbb8593,e55a787749e94997b7fef9dee6072df9f5a1070d3c2f58ed0254993022ff9af6,True,valid,model_end,1120,55
ad_memory_r2__B-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,95176a93d495b4b97b22f08faf926f2e62c6041abcb7e37794f7e0ca31787735,9d75d552a0ebc11c419800fc77eddadabf289fe7ea68a4ad2301a8faebc2e390,True,valid,model_end,1123,55
ad_memory_r2__B-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,297433b0ad7ea3dc58a49dabe41df11f61fe0eabbcd935541a0056b3e84031a8,d13eca6c0f393cbe88f1240cd1ea1b2e6d82976557e55c5d030cf206b25b2598,True,valid,model_end,1120,54
ad_memory_r2__H-recent5-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,1a76787dcbe64ad262dd5281a6a390720f8fba14cecf3782761e5994da6b6815,189b39020dd014017c39050316718f950b98579cabeff24c32941a73b12ea3cc,True,valid,model_end,1308,55
ad_memory_r2__H-recent5-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,9fbd6e24d80e49089ffa31cadcad9948757307d6d30f5093f26e42e6cc206268,4a1214cd6bfef750f60b147ce9df8787aaa933035951eb95483d40a31d5754b9,True,valid,model_end,1305,55
ad_memory_r2__H-recent5-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,212a5c6be30232fd1ed3dc1a5f8059c680ab83247b9b239a92b355fd3555ab9b,ec28dd83010ff44336ea6b7657951de4990d6a4360013847d75bdafb97ea5165,True,valid,model_end,1307,55
ad_memory_r2__H-recent5-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,99ffbb47fd689bbf175f59907f896938327739ebf03cf796521f3ceff496a733,24afb12dc14ba88974f0f5d05af21558391724904ef5d01dda0e20de2b42fad1,True,valid,model_end,1305,55
ad_memory_r2__H-recent5-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,170dde0c2035cf2cc2c5a5595d78033e3b3d4772cfb0f18566e46cc99280ff63,b70a348a6fb39d1525fa7e81e075fb6ce877f60265b65f686a5b72f9ca5aa79a,True,valid,model_end,1311,55
ad_memory_r2__R-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,e2437c79c194565100f7589223aa1750be18f8312e0a52e7be1ba1448eaa2b73,0b363b70db7bb4c3268bc17ca12e9e9bc62a0881e93f23cc9ce625b80e0a5746,True,valid,model_end,1110,55
ad_memory_r2__R-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,1e56d2124cc1cdd1ad1d8a83f59fdb29d1c3d1c7f1c8a19053ae591d72455f9f,1a538c259cef089ac34e554dd082021d3b55fd4b45bfa6bd7e812b6aba91d181,True,valid,model_end,1112,55
ad_memory_r2__R-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,8b5d3fca1871237f8fb1aa58fc0328df04db882ede4e5a4731734f07d43148f5,0f2e37a675cf3c4a35b7d5f5112965020a725c0bcf30820d561543ccc044fabc,True,valid,model_end,1112,55
ad_memory_r2__R-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,e3b898b254a97c2559256ae49c766e4bf9b682e0ecf266077e8174d9c6ed4d6e,ef424219e1a03b62d45ee72d784d1383b215bcdcbd7deb00d4bd70a5eb6d78d3,True,valid,model_end,1110,55
ad_memory_r2__R-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,b616b55e643c94d112d4898d2859a0f34fb9cf38125d65627f0304ba0f072824,7366fe5f12d542004a9038bf8fb925a17262b0678e14b6449cb020b20a1bb1cc,True,valid,model_end,1111,55
ad_memory_r2__S-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,8b2d919eb2dc6e6f7331fc9345448154b31d0b24671fe9a9b90ee8dbcb262bb9,ef8d1b8ed3d30f69431c440f700664807b07f89bb438a0d452ad7045408d1729,True,valid,model_end,1230,55
ad_memory_r2__S-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,804ae65167c0fc6b1129404c71f37c8cf9e9da3f3c0cd32741e787429d3802eb,5e45e1d0026356ef7bf5673d96db76b90267e805fdbbae5392bece94d3f7ddbe,True,valid,model_end,1222,55
ad_memory_r2__S-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,5f78031d21cb9dc1ad376e53440f37021268835914cb674db5ace24890db716e,655d06f2419f1a8c19fb88e1b456f5e57119ae558b023c4c84627f8b626716bb,True,valid,model_end,1212,55
ad_memory_r2__S-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,4a341a17237bcffe838f05265d18428f575b28485b8be7c20aafb55d7aaa858d,a598b7bbc5f668f311edb10177ac11c1f34268f2ef7926d16b73dc2e553fbe8f,True,valid,model_end,1234,55
ad_memory_r2__S-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,90b306a2b672999d989a71fe3fb1975577dcffa8112c57ef90d9c6a68f519b31,f748865ebd3953911db138a98f3c37ebb0b60d36c2317763f35a22a99fda8986,True,valid,model_end,1212,55
ad_memoryless_r1__B-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,0363b9f66a7c5e356849f5e30c886dee1227ab55a0afc3a97927eb9bbfc8300f,2e5ddc4627ee61b428739ecb4ff088842f304056ba7a8d103361e3cbfc196eec,True,valid,model_end,1124,55
ad_memoryless_r1__B-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,a1736aabc0cad94efe2cfb9f2f4d7169cbf6a8d7638693b98fe62a0ffd893a1e,c5d1c136c99f1d0b2ec7a0fb863da83de0c5b6326f866fe9d3cf9fb41e3efcbb,True,valid,model_end,1124,55
ad_memoryless_r1__B-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,c22f77f88696f484d1b7c7c05ad2fbf5bb401c1d6714cd313c1cb66630d89ec0,ea045e74201ee8891efcb5226fd6b938a91370bc44d2de289d40f95b36fd58e1,True,valid,model_end,1122,59
ad_memoryless_r1__B-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,75e7f966929a1c911ca67dd78fa0ff9ba6197cef3b95a019a7c00b2ccdea1711,783ca26733392f014d40b4694d200b34e43f0a566074c2ea41f1feb002e1e265,True,valid,model_end,1122,55
ad_memoryless_r1__B-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,4c32b2a051ecb9291b07368d14312bc0807b62c5f779537b5c5b8e9603f67841,41967ef39fcf2a1791de8beefff126acfeeff3328a166e2dcb9713a7cd3c16bc,True,valid,model_end,1124,59
ad_memoryless_r1__H-recent5-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,41dd6d9e6cfabe71f279aad2c2129093b4c08df72c0781111341b44a3813ef9f,abd73e670df275fa9f691eaf449fa5899260cc5398e5cba3d84e2470642acd77,True,valid,model_end,1298,59
ad_memoryless_r1__H-recent5-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,c801f086204597c3fddc90ef07af17b01a943844d1192c5b1da0f9007c56cc60,b8e0758513bc96ed1508824bfe346b6c3ca7b56c8178cbc4ed044dc639021ae3,True,valid,model_end,1299,54
ad_memoryless_r1__H-recent5-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,2f3afe4d281ce242d1d2972fcfcd1e567d4eeb02bc635294aa388b724f151ffb,1a9d2da187bc27d2fa2c616ce306010244e900513513e34312b8d2d2a087c8ea,True,valid,model_end,1298,51
ad_memoryless_r1__H-recent5-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,d06dfe9205a23bf2ba6fc12cdbd664d1376c916b8b2ec31f11ef239fa1bd71be,da9b790a2c1155b24b2bd2ab7920cb9b34517ae4f536efcdbb150f5ea0bddc9e,True,valid,model_end,1298,54
ad_memoryless_r1__H-recent5-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,4c4c02871141df2ce5caa69568d1b18801d28a30b4cc1e23aff7e06ea778f7c0,18af41793f8bd9838291e2235d8ddaebca15e11118a914ebd79a534f06101a07,True,valid,model_end,1299,55
ad_memoryless_r1__R-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,4ab7b3901c95b9b124508fcab883dfc8655288ab6749e087fab7055038d8a5ab,b5eed985e1bf0b16f19a9f7d4b02fbf790f2d68244909573fd398c3cb642f73c,True,valid,model_end,1109,55
ad_memoryless_r1__R-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,983ad6772dc93874454964e952e28ffeaa7f02adc641d4efa2902708b4428053,3780dde2bb6483d671adb07848441f89876188caa98ef5c240047f834cd91cb5,True,valid,model_end,1109,55
ad_memoryless_r1__R-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,7e0ff38940bf89f525f2828b907bc873eb4926789aff662905e8dab1c8978bf5,dc768b5dda740d9f3a225b5ec0689659439aed5ddad4323f429d8c3d6205987a,True,valid,model_end,1105,55
ad_memoryless_r1__R-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,ccf7ec1c19124c8c8ae2294308cbf8ae0ba8a161adbc6d885254a0c1d5d1ad13,654587cccc4934281a03172cbc65338ccf93c559da54c3c9346183616faea646,True,valid,model_end,1106,55
ad_memoryless_r1__R-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,cfbc738d54c7c326ffa774059c9976ea3412eb86338288a5bd30a97849a6b8ab,2a6aa16a7506ac37779e707c131f85d780967b0e8133b6294167d51ced166b49,True,valid,model_end,1104,55
ad_memoryless_r1__S-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,617852491f7eced9c8d4ea4839bf2a296dc3932c9b0ffb711d03156257d72c27,490552565671a7ef637ab3a63693e1a37d74b299382a3c6835619811bbcc56a2,True,valid,model_end,1171,55
ad_memoryless_r1__S-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,2040a5c1b86b99b253822311f4b9fe93f4ca8b82d40f0627034f285d5fef9c60,d15a71eedd3e95ab32e0cdf173c721edac5ec06299129281696c14a099ba24cb,True,valid,model_end,1178,55
ad_memoryless_r1__S-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,053c038a91a8beca8b257b3f66d37e084a35142c4ab78d445ceb6780b2fe6a0f,7b84ac906d354e62fb779ad495ebdf3c8d32d45e5740ee585c13e5eb498a035e,True,valid,model_end,1153,55
ad_memoryless_r1__S-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,34b905444c742631b52dfbdc567fd2bd9b6e629eb1cb7ecb583e78d7f708257a,f9698c277ae7f164e8e9e60a7b1e8d4fd8281f68c8390c2617af5a904271ca14,True,valid,model_end,1176,55
ad_memoryless_r1__S-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,b17be5db3c72e014003cc9e1cc8053d7021e5105923b56bafdac6c601edd0063,6cd8a2460c080dad7614f4f078e3c03a445d30e7bb47f13b8793fd1f7c3e6fda,True,valid,model_end,1192,55
ad_memoryless_r2__B-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,5c3b6516259507f89cc945ee095a8f4462f35995d3b2e20987ec32597737c4b5,eb3fa968d77074fdec3a2663ce7a6c70a67bc77aa349678c65a073e7f1cc99dc,True,valid,model_end,1123,63
ad_memoryless_r2__B-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,26f619eeffd5daf7bd991aca3627d6c44b44dda18088c2ca74714b4071479fc4,49df76b996c5557fc2519706c0573d3e0bd88c81dbe38f3f51c4d51bcd2d2f73,True,valid,model_end,1123,54
ad_memoryless_r2__B-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,a22b1c73e6c5c59caaac4fbfed13467c7649276aa2d58550bf2e2e4724151365,b38efaaf928c1bcf7ffbb9d2a3c48cad584edfc4f5b3958b7468f138b2f7e3aa,True,valid,model_end,1122,55
ad_memoryless_r2__B-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,64feea58a70fc7122205583aba98e37af50816e08453b550a17c7f584ef68f03,a5debfb60978b3cb95b2407d4932c3325baa82b8613faa3da5d14c52a6f1dfc9,True,valid,model_end,1123,55
ad_memoryless_r2__B-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,4226c75d168f98710a9f82edbfe949c3dea1749a29c5db1c3870d45ae37f11a3,23cc01b498b5e344fff9880a4a864b54e7a40b59b08506cad5d91902257377f8,True,valid,model_end,1122,55
ad_memoryless_r2__H-recent5-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,6127e31e4a436ff1365d0bba1e41ea319ef2e54c4becfaf19c0598a777b6f0f6,9e003ea66ceb68742ebdce1ecf4395e482c52ef40a94b2860d904efdb34c39b5,True,valid,model_end,1297,51
ad_memoryless_r2__H-recent5-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,9979af39f14aaebc4c883cb7549c919d3d24ecac2c1535651d4aa07730160622,7a813658df2a741be6fcced76b5bc8cbf28f4dcdc6ee4d86960c881b18440662,True,valid,model_end,1297,54
ad_memoryless_r2__H-recent5-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,c38de0ce2d66a762119f39736f1b7c2c165bfe9d525d3ea3c09b777dd497a1ce,f6592726fb2c618cb4bb759cff27ac866f635c5a9c905cf4c5489b1e398ce8b2,True,valid,model_end,1296,55
ad_memoryless_r2__H-recent5-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,d8e5cc14127713978bc0185abb0c7d830433f86d09666fdf652311a3c73453a2,704596ce58c83280ce6d2377eca8faf843e857cf7f6aabd5b2e431d5684dd186,True,valid,model_end,1297,51
ad_memoryless_r2__H-recent5-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,f8ace7ad0c0df7a4b9a3548ce14ee6e0dacbf40873b408d8f5968d428d7f9905,d1c64a4deae4c85f21f5db50453d55ac5897c05432998959c18a021ab5ba83ae,True,valid,model_end,1295,55
ad_memoryless_r2__R-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,c3c265ffef892519f46fa76d7b3282c1c16afd4e1705a44953337e91068a0ebb,699f22d69d52eab140bc7de2ddc98cc5586016e6428c01dc145d16ae4e7e0c58,True,valid,model_end,1108,54
ad_memoryless_r2__R-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,db15fd4ca33060da06eb625f4005e65cc02f7b8641559471bbcc226d9fcf2669,0091241b22820449897bc716c5ab6e7ea5dc7aec2de20057054f874353b933f1,True,valid,model_end,1105,55
ad_memoryless_r2__R-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,e9f91bc495fec36b3c8a6b82e1edc73f42e978199ecaf6d5ce4a162431c725be,5cf900ece2eb82684b5ef0a325c7b1d8dd397cc06cec6ab8ba566566225a46ec,True,valid,model_end,1100,55
ad_memoryless_r2__R-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,6269505c72f09b1b5e52de142767cd84eb68fe6229d5c637698ef91f0a8e9cc1,acb1388c5d6aef96c8b392687eaa78ec20a241e1b830f16a995be56944d5e5e9,True,valid,model_end,1106,55
ad_memoryless_r2__R-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,c0792d0ae1369b150d5f15823a7b01ca78abe3ee210c7c959f29fcd8570fbfb8,c58eac6636908e792da3314a445d5d89bdbf1ad6ebb6a2c3e2ddb3f995e520e3,True,valid,model_end,1107,54
ad_memoryless_r2__S-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,e4df58079fcc14620bcbd55eb6fb7ac681a81d2289d8a58f61b9a009915cd501,efbfb978dc8256c14288472665bd7a2544229ec5a480b1456de1a74db904e967,True,valid,model_end,1183,55
ad_memoryless_r2__S-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,e3f6193761e5d8c593897354e0b3e1e53899f99f98d5ab31b628ed946025a304,96b06ec9fd10b0ce9289ccc251627d50deaf723049ee20cb2754d5f887091bcc,True,valid,model_end,1185,55
ad_memoryless_r2__S-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,5315cd1bc7ab8c9d6ac21ac98314b467832aa6528fb468558c92e8f06628eaef,ac556e89ecf5ee570a33615f983b8a906cf211116de57ed466816014d19a924f,True,valid,model_end,1189,54
ad_memoryless_r2__S-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,e7190c64ae9aaa84232ffacaa08f0e843bcc6c36863b9495ab550f63ef0b6170,cd1dfa195ba18f6ad003022fc048c83587b516de1fcf0fa160ee5b0e9245373d,True,valid,model_end,1202,59
ad_memoryless_r2__S-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,754e0f48ca61ebb0545f90bb2ff55b86d458d8032e66f63ceb71ab9f5c95570a,44074bd06b95e06ff47b0f86d42859d3e7d3ac170e1a0ed2efd65d9141d07332,True,valid,model_end,1186,54
copenhagen_bluetooth__B-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,08ae7a83168ffd41097a0dd372b01137b8ae1f2f9f7b70f8075ff895dce823f7,672233ccb2d84775f97e796154a605dff0b63eba800c2b8d3eb67e420679ea59,True,valid,model_end,1231,59
copenhagen_bluetooth__B-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,1bcf6ddbcb10281f25a76de23c70013f9987670e21b11795db7901f22ddbdc37,d3bce8fabdc9d1bae639481f6abd0bac071ddc953950c38e4af2b33becb26c99,True,valid,model_end,1232,55
copenhagen_bluetooth__B-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,cf2f3b7bb5ad57b6ab967ec004b719e77eccbc4f96b5de2552186bf01de8acf8,8a835be23f282304bd84ddae5d985dfb57040bea3f8ee6deafe90e2a8c42776f,True,valid,model_end,1230,59
copenhagen_bluetooth__B-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,d6de1a3a683c5c647870e0bb3695b0d00048da90a540c3d589a624d644dc92b4,b9c77ab2d4867bd6e80ef0ea3d3e3e038560dade32bc382104be496773043d84,True,valid,model_end,1232,55
copenhagen_bluetooth__B-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,0455745d727a7d583e046e7b7b494995f33fad2e5ccb1140f63d8c4c56cec91a,9e249db5e2dae6932403eed797c20597345fbe6f3d8f330a3f9a3c9bc7072697,True,valid,model_end,1232,55
copenhagen_bluetooth__H-recent5-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,b8eee4a4f0a8b646c9268185a2ca6ab3d9a1a3e864a463cafefa402bd765704f,897f503d9d36dcdf923826384195cb866f185704aa0933c1728d880cdd514cb5,True,valid,model_end,1429,55
copenhagen_bluetooth__H-recent5-c10__s2__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,145b0cf12e8e4aeeea64322e7dfc079d827faf6e9efc07c56f63dc895ed4a33f,1a65c2c018a1cdab6917d17c7303e295a3d7e2a456caececdef1cb8048e10d75,True,valid,model_end,1423,59
copenhagen_bluetooth__H-recent5-c10__s3__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,f5c01dd1037d583b082b3e618bd50d862a0f05eac1783f83f04ad7c88789d150,ebf503dd834e0132b09e466dc1e26ffaec8a2c3b2d94dda40c43a511061af6dd,True,valid,model_end,1426,55
copenhagen_bluetooth__H-recent5-c10__s4__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,363e085e8e23a94fd4b865f762360432a51f788791f5ae8f6dc318c46ce1cf7c,192b5499ba81ec99718207fef8a9ea5653a1d2c5adff4bc933ae5d44277c8b64,True,valid,model_end,1427,59
copenhagen_bluetooth__H-recent5-c10__s5__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,77179f4c2c086ed39daa873136c2429682e1bc8e2ae5fdedb73db1086d247330,d85ce1b690ea2227015fb8c2c15fb5804a39c94b6c67b1c4a6aed09b1ae9c5d0,True,valid,model_end,1425,55
copenhagen_bluetooth__R-c10__s1__qwen_nonthinking__r1__cells10-json-20260918,qwen_nonthinking,3f799500c7af7643c70f09f416c2a1fe3a0f364174b2eeb0e12ffe0f69156f87,9c7a037ac0067a8afb3ab5b7d95d08427379fb99f3747f52b8de76db5da91ccd,True,valid,model_end,1245,55
