id,graph_id,arm,sample_index,status,planned_logical_calls,actual_calls,empty
snap_mathoverflow__R__s4,snap_mathoverflow,R,4,prepared_not_started,12,0,False
snap_mathoverflow__R__s5,snap_mathoverflow,R,5,prepared_not_started,12,0,False
snap_mathoverflow__S__s1,snap_mathoverflow,S,1,prepared_not_started,12,0,False
snap_mathoverflow__S__s2,snap_mathoverflow,S,2,prepared_not_started,12,0,False
snap_mathoverflow__S__s3,snap_mathoverflow,S,3,prepared_not_started,12,0,False
snap_mathoverflow__S__s4,snap_mathoverflow,S,4,prepared_not_started,12,0,False
snap_mathoverflow__S__s5,snap_mathoverflow,S,5,prepared_not_started,12,0,False
snap_mathoverflow__H__s1,snap_mathoverflow,H,1,prepared_not_started,12,0,False
snap_mathoverflow__B__s1,snap_mathoverflow,B,1,prepared_not_started,12,0,False
snap_mathoverflow__B__s2,snap_mathoverflow,B,2,prepared_not_started,12,0,False
snap_mathoverflow__B__s3,snap_mathoverflow,B,3,prepared_not_started,12,0,False
snap_mathoverflow__B__s4,snap_mathoverflow,B,4,prepared_not_started,12,0,False
snap_mathoverflow__B__s5,snap_mathoverflow,B,5,prepared_not_started,12,0,False
dar_a0_r1__R__s1,dar_a0_r1,R,1,prepared_not_started,12,0,False
dar_a0_r1__R__s2,dar_a0_r1,R,2,prepared_not_started,12,0,False
dar_a0_r1__R__s3,dar_a0_r1,R,3,prepared_not_started,12,0,False
dar_a0_r1__R__s4,dar_a0_r1,R,4,prepared_not_started,12,0,False
dar_a0_r1__R__s5,dar_a0_r1,R,5,prepared_not_started,12,0,False
dar_a0_r1__S__s1,dar_a0_r1,S,1,prepared_not_started,12,0,False
dar_a0_r1__S__s2,dar_a0_r1,S,2,prepared_not_started,12,0,False
dar_a0_r1__S__s3,dar_a0_r1,S,3,prepared_not_started,12,0,False
dar_a0_r1__S__s4,dar_a0_r1,S,4,prepared_not_started,12,0,False
dar_a0_r1__S__s5,dar_a0_r1,S,5,prepared_not_started,12,0,False
dar_a0_r1__H__s1,dar_a0_r1,H,1,prepared_not_started,12,0,False
dar_a0_r1__B__s1,dar_a0_r1,B,1,prepared_not_started,12,0,False
dar_a0_r1__B__s2,dar_a0_r1,B,2,prepared_not_started,12,0,False
dar_a0_r1__B__s3,dar_a0_r1,B,3,prepared_not_started,12,0,False
dar_a0_r1__B__s4,dar_a0_r1,B,4,prepared_not_started,12,0,False
dar_a0_r1__B__s5,dar_a0_r1,B,5,prepared_not_started,12,0,False
dar_a08_r1__R__s1,dar_a08_r1,R,1,prepared_not_started,12,0,False
dar_a08_r1__R__s2,dar_a08_r1,R,2,prepared_not_started,12,0,False
dar_a08_r1__R__s3,dar_a08_r1,R,3,prepared_not_started,12,0,False
dar_a08_r1__R__s4,dar_a08_r1,R,4,prepared_not_started,12,0,False
dar_a08_r1__R__s5,dar_a08_r1,R,5,prepared_not_started,12,0,False
dar_a08_r1__S__s1,dar_a08_r1,S,1,prepared_not_started,12,0,False
dar_a08_r1__S__s2,dar_a08_r1,S,2,prepared_not_started,12,0,False
dar_a08_r1__S__s3,dar_a08_r1,S,3,prepared_not_started,12,0,False
dar_a08_r1__S__s4,dar_a08_r1,S,4,prepared_not_started,12,0,False
dar_a08_r1__S__s5,dar_a08_r1,S,5,prepared_not_started,12,0,False
dar_a08_r1__H__s1,dar_a08_r1,H,1,prepared_not_started,12,0,False
dar_a08_r1__B__s1,dar_a08_r1,B,1,prepared_not_started,12,0,False
dar_a08_r1__B__s2,dar_a08_r1,B,2,prepared_not_started,12,0,False
dar_a08_r1__B__s3,dar_a08_r1,B,3,prepared_not_started,12,0,False
dar_a08_r1__B__s4,dar_a08_r1,B,4,prepared_not_started,12,0,False
dar_a08_r1__B__s5,dar_a08_r1,B,5,prepared_not_started,12,0,False
dar_a0_r2__R__s1,dar_a0_r2,R,1,prepared_not_started,12,0,False
dar_a0_r2__R__s2,dar_a0_r2,R,2,prepared_not_started,12,0,False
dar_a0_r2__R__s3,dar_a0_r2,R,3,prepared_not_started,12,0,False
dar_a0_r2__R__s4,dar_a0_r2,R,4,prepared_not_started,12,0,False
dar_a0_r2__R__s5,dar_a0_r2,R,5,prepared_not_started,12,0,False
dar_a0_r2__S__s1,dar_a0_r2,S,1,prepared_not_started,12,0,False
dar_a0_r2__S__s2,dar_a0_r2,S,2,prepared_not_started,12,0,False
dar_a0_r2__S__s3,dar_a0_r2,S,3,prepared_not_started,12,0,False
dar_a0_r2__S__s4,dar_a0_r2,S,4,prepared_not_started,12,0,False
dar_a0_r2__S__s5,dar_a0_r2,S,5,prepared_not_started,12,0,False
dar_a0_r2__H__s1,dar_a0_r2,H,1,prepared_not_started,12,0,False
dar_a0_r2__B__s1,dar_a0_r2,B,1,prepared_not_started,12,0,False
dar_a0_r2__B__s2,dar_a0_r2,B,2,prepared_not_started,12,0,False
dar_a0_r2__B__s3,dar_a0_r2,B,3,prepared_not_started,12,0,False
dar_a0_r2__B__s4,dar_a0_r2,B,4,prepared_not_started,12,0,False
dar_a0_r2__B__s5,dar_a0_r2,B,5,prepared_not_started,12,0,False
dar_a08_r2__R__s1,dar_a08_r2,R,1,prepared_not_started,12,0,False
dar_a08_r2__R__s2,dar_a08_r2,R,2,prepared_not_started,12,0,False
dar_a08_r2__R__s3,dar_a08_r2,R,3,prepared_not_started,12,0,False
dar_a08_r2__R__s4,dar_a08_r2,R,4,prepared_not_started,12,0,False
dar_a08_r2__R__s5,dar_a08_r2,R,5,prepared_not_started,12,0,False
dar_a08_r2__S__s1,dar_a08_r2,S,1,prepared_not_started,12,0,False
dar_a08_r2__S__s2,dar_a08_r2,S,2,prepared_not_started,12,0,False
dar_a08_r2__S__s3,dar_a08_r2,S,3,prepared_not_started,12,0,False
dar_a08_r2__S__s4,dar_a08_r2,S,4,prepared_not_started,12,0,False
dar_a08_r2__S__s5,dar_a08_r2,S,5,prepared_not_started,12,0,False
dar_a08_r2__H__s1,dar_a08_r2,H,1,prepared_not_started,12,0,False
dar_a08_r2__B__s1,dar_a08_r2,B,1,prepared_not_started,12,0,False
dar_a08_r2__B__s2,dar_a08_r2,B,2,prepared_not_started,12,0,False
dar_a08_r2__B__s3,dar_a08_r2,B,3,prepared_not_started,12,0,False
dar_a08_r2__B__s4,dar_a08_r2,B,4,prepared_not_started,12,0,False
dar_a08_r2__B__s5,dar_a08_r2,B,5,prepared_not_started,12,0,False
ad_memoryless_r1__R__s1,ad_memoryless_r1,R,1,prepared_not_started,12,0,False
ad_memoryless_r1__R__s2,ad_memoryless_r1,R,2,prepared_not_started,12,0,False
ad_memoryless_r1__R__s3,ad_memoryless_r1,R,3,prepared_not_started,12,0,False
ad_memoryless_r1__R__s4,ad_memoryless_r1,R,4,prepared_not_started,12,0,False
ad_memoryless_r1__R__s5,ad_memoryless_r1,R,5,prepared_not_started,12,0,False
ad_memoryless_r1__S__s1,ad_memoryless_r1,S,1,prepared_not_started,12,0,False
ad_memoryless_r1__S__s2,ad_memoryless_r1,S,2,prepared_not_started,12,0,False
ad_memoryless_r1__S__s3,ad_memoryless_r1,S,3,prepared_not_started,12,0,False
ad_memoryless_r1__S__s4,ad_memoryless_r1,S,4,prepared_not_started,12,0,False
ad_memoryless_r1__S__s5,ad_memoryless_r1,S,5,prepared_not_started,12,0,False
ad_memoryless_r1__H__s1,ad_memoryless_r1,H,1,prepared_not_started,12,0,False
ad_memoryless_r1__B__s1,ad_memoryless_r1,B,1,prepared_not_started,12,0,False
ad_memoryless_r1__B__s2,ad_memoryless_r1,B,2,prepared_not_started,12,0,False
ad_memoryless_r1__B__s3,ad_memoryless_r1,B,3,prepared_not_started,12,0,False
ad_memoryless_r1__B__s4,ad_memoryless_r1,B,4,prepared_not_started,12,0,False
ad_memoryless_r1__B__s5,ad_memoryless_r1,B,5,prepared_not_started,12,0,False
ad_memory_r1__R__s1,ad_memory_r1,R,1,prepared_not_started,12,0,False
ad_memory_r1__R__s2,ad_memory_r1,R,2,prepared_not_started,12,0,False
ad_memory_r1__R__s3,ad_memory_r1,R,3,prepared_not_started,12,0,False
ad_memory_r1__R__s4,ad_memory_r1,R,4,prepared_not_started,12,0,False
ad_memory_r1__R__s5,ad_memory_r1,R,5,prepared_not_started,12,0,False
ad_memory_r1__S__s1,ad_memory_r1,S,1,prepared_not_started,12,0,False
ad_memory_r1__S__s2,ad_memory_r1,S,2,prepared_not_started,12,0,False
ad_memory_r1__S__s3,ad_memory_r1,S,3,prepared_not_started,12,0,False
ad_memory_r1__S__s4,ad_memory_r1,S,4,prepared_not_started,12,0,False
ad_memory_r1__S__s5,ad_memory_r1,S,5,prepared_not_started,12,0,False
ad_memory_r1__H__s1,ad_memory_r1,H,1,prepared_not_started,12,0,False
ad_memory_r1__B__s1,ad_memory_r1,B,1,prepared_not_started,12,0,False
ad_memory_r1__B__s2,ad_memory_r1,B,2,prepared_not_started,12,0,False
ad_memory_r1__B__s3,ad_memory_r1,B,3,prepared_not_started,12,0,False
ad_memory_r1__B__s4,ad_memory_r1,B,4,prepared_not_started,12,0,False
ad_memory_r1__B__s5,ad_memory_r1,B,5,prepared_not_started,12,0,False
ad_memoryless_r2__R__s1,ad_memoryless_r2,R,1,prepared_not_started,12,0,False
ad_memoryless_r2__R__s2,ad_memoryless_r2,R,2,prepared_not_started,12,0,False
ad_memoryless_r2__R__s3,ad_memoryless_r2,R,3,prepared_not_started,12,0,False
ad_memoryless_r2__R__s4,ad_memoryless_r2,R,4,prepared_not_started,12,0,False
ad_memoryless_r2__R__s5,ad_memoryless_r2,R,5,prepared_not_started,12,0,False
ad_memoryless_r2__S__s1,ad_memoryless_r2,S,1,prepared_not_started,12,0,False
ad_memoryless_r2__S__s2,ad_memoryless_r2,S,2,prepared_not_started,12,0,False
ad_memoryless_r2__S__s3,ad_memoryless_r2,S,3,prepared_not_started,12,0,False
ad_memoryless_r2__S__s4,ad_memoryless_r2,S,4,prepared_not_started,12,0,False
ad_memoryless_r2__S__s5,ad_memoryless_r2,S,5,prepared_not_started,12,0,False
ad_memoryless_r2__H__s1,ad_memoryless_r2,H,1,prepared_not_started,12,0,False
ad_memoryless_r2__B__s1,ad_memoryless_r2,B,1,prepared_not_started,12,0,False
ad_memoryless_r2__B__s2,ad_memoryless_r2,B,2,prepared_not_started,12,0,False
ad_memoryless_r2__B__s3,ad_memoryless_r2,B,3,prepared_not_started,12,0,False
ad_memoryless_r2__B__s4,ad_memoryless_r2,B,4,prepared_not_started,12,0,False
ad_memoryless_r2__B__s5,ad_memoryless_r2,B,5,prepared_not_started,12,0,False
ad_memory_r2__R__s1,ad_memory_r2,R,1,prepared_not_started,12,0,False
ad_memory_r2__R__s2,ad_memory_r2,R,2,prepared_not_started,12,0,False
ad_memory_r2__R__s3,ad_memory_r2,R,3,prepared_not_started,12,0,False
ad_memory_r2__R__s4,ad_memory_r2,R,4,prepared_not_started,12,0,False
ad_memory_r2__R__s5,ad_memory_r2,R,5,prepared_not_started,12,0,False
ad_memory_r2__S__s1,ad_memory_r2,S,1,prepared_not_started,12,0,False
ad_memory_r2__S__s2,ad_memory_r2,S,2,prepared_not_started,12,0,False
ad_memory_r2__S__s3,ad_memory_r2,S,3,prepared_not_started,12,0,False
ad_memory_r2__S__s4,ad_memory_r2,S,4,prepared_not_started,12,0,False
ad_memory_r2__S__s5,ad_memory_r2,S,5,prepared_not_started,12,0,False
ad_memory_r2__H__s1,ad_memory_r2,H,1,prepared_not_started,12,0,False
ad_memory_r2__B__s1,ad_memory_r2,B,1,prepared_not_started,12,0,False
ad_memory_r2__B__s2,ad_memory_r2,B,2,prepared_not_started,12,0,False
ad_memory_r2__B__s3,ad_memory_r2,B,3,prepared_not_started,12,0,False
ad_memory_r2__B__s4,ad_memory_r2,B,4,prepared_not_started,12,0,False
ad_memory_r2__B__s5,ad_memory_r2,B,5,prepared_not_started,12,0,False
